SerialNumber;ECID;OS Version;SaveDate;filename;path;;;;;
F17RL1MKGRYC;0x0038F8FB50AEC;12.1.4;Tue Feb 26 09:40:15 CET 2019;3915126213356_iPhone8,1_n71ap_12.1.4-16D57_552f74ebef5249d6880fb4b30f77841af7d7f598.shsh2;/Users/Niels/Dropbox/UCB/Scriptz/Final_For_Farm/BlobSave/F17RL1MKGRYC/12.1.4/3915126213356_iPhone8,1_n71ap_12.1.4-16D57_552f74ebef5249d6880fb4b30f77841af7d7f598.shsh2;;;;;
DNRQTP1WGRYC;0x00475CB3BCB28;12.1.4;Tue Feb 26 09:40:17 CET 2019;4903967378216_iPhone8,1_n71ap_12.1.4-16D57_928b4bf9afbc12c3618dc6ef9baeeffd04823018.shsh2;/Users/Niels/Dropbox/UCB/Scriptz/Final_For_Farm/BlobSave/DNRQTP1WGRYC/12.1.4/4903967378216_iPhone8,1_n71ap_12.1.4-16D57_928b4bf9afbc12c3618dc6ef9baeeffd04823018.shsh2;;;;;
FFMRL3Z1GRYC;0x1E54C410F08226;12.1.4;Tue Feb 26 09:40:20 CET 2019;8537450375840294_iPhone8,1_n71map_12.1.4-16D57_3e394c6e44b4e971e1e338ed905d42fd12117e90.shsh2;/Users/Niels/Dropbox/UCB/Scriptz/Final_For_Farm/BlobSave/FFMRL3Z1GRYC/12.1.4/8537450375840294_iPhone8,1_n71map_12.1.4-16D57_3e394c6e44b4e971e1e338ed905d42fd12117e90.shsh2;;;;;
F4GQP9CTGRYC;0x106564240BEC26;12.1.4;Tue Feb 26 09:40:22 CET 2019;4615080403266598_iPhone8,1_n71map_12.1.4-16D57_492af4a6c3315196d59e5beb27455e3b5e54aede.shsh2;/Users/Niels/Dropbox/UCB/Scriptz/Final_For_Farm/BlobSave/F4GQP9CTGRYC/12.1.4/4615080403266598_iPhone8,1_n71map_12.1.4-16D57_492af4a6c3315196d59e5beb27455e3b5e54aede.shsh2;;;;;
F18PVELUG5MT;0x1C0DA61008A426;12.1.4;Tue Feb 26 09:40:24 CET 2019;7896306232632358_iPhone7,2_n61ap_12.1.4-16D57_8d6e2fa9d6d09a537cd23366d86c0c7e48842e53.shsh2;/Users/Niels/Dropbox/UCB/Scriptz/Final_For_Farm/BlobSave/F18PVELUG5MT/12.1.4/7896306232632358_iPhone7,2_n61ap_12.1.4-16D57_8d6e2fa9d6d09a537cd23366d86c0c7e48842e53.shsh2;;;;;
C7JQ7WJVGRYC;0x11799E0078CC26;12.1.3;Wed Feb 27 15:24:30 CET 2019;4918794123791398_iPhone8,1_n71map_12.1.3-16D39_676c567f44ba05c7ddb0b2ca240a3f546a78ac4b.shsh2;/Users/Niels/Dropbox/UCB/Scriptz/Final_For_Farm/BlobSave/C7JQ7WJVGRYC/12.1.3/4918794123791398_iPhone8,1_n71map_12.1.3-16D39_676c567f44ba05c7ddb0b2ca240a3f546a78ac4b.shsh2;;;;;
DX5V777FHTVL;0x14751C30F8CF26;12.1.3;Wed Feb 27 15:24:35 CET 2019;5758263475359526_iPhone8,4_n69ap_12.1.3-16D39_693695466436af8cc92775be3061b7addaaf78e4.shsh2;/Users/Niels/Dropbox/UCB/Scriptz/Final_For_Farm/BlobSave/DX5V777FHTVL/12.1.3/5758263475359526_iPhone8,4_n69ap_12.1.3-16D39_693695466436af8cc92775be3061b7addaaf78e4.shsh2;;;;;
C79P64UDG5MR;0x12119400E81826;12.1.3;Wed Feb 27 15:24:37 CET 2019;5085876948834342_iPhone7,2_n61ap_12.1.3-16D39_6aa9b592bc23c1c05f942e0f1b75b6ae2f924863.shsh2;/Users/Niels/Dropbox/UCB/Scriptz/Final_For_Farm/BlobSave/C79P64UDG5MR/12.1.3/5085876948834342_iPhone7,2_n61ap_12.1.3-16D39_6aa9b592bc23c1c05f942e0f1b75b6ae2f924863.shsh2;;;;;
F17RL1CHGRYC;0x005B7C89C28A8;12.1.3;Wed Feb 27 15:24:39 CET 2019;6286902831272_iPhone8,1_n71ap_12.1.3-16D39_c06e66d5b74aa3ac226920bc7906fb0614fafe3a.shsh2;/Users/Niels/Dropbox/UCB/Scriptz/Final_For_Farm/BlobSave/F17RL1CHGRYC/12.1.3/6286902831272_iPhone8,1_n71ap_12.1.3-16D39_c06e66d5b74aa3ac226920bc7906fb0614fafe3a.shsh2;;;;;
F17RL1MKGRYC;0x0038F8FB50AEC;12.1.3;Wed Feb 27 15:24:40 CET 2019;3915126213356_iPhone8,1_n71ap_12.1.3-16D39_81c5046048bd0d20647887912db09b7e5f2bdf34.shsh2;/Users/Niels/Dropbox/UCB/Scriptz/Final_For_Farm/BlobSave/F17RL1MKGRYC/12.1.3/3915126213356_iPhone8,1_n71ap_12.1.3-16D39_81c5046048bd0d20647887912db09b7e5f2bdf34.shsh2;;;;;
